utterance_id,conversation_id,agent,message,topic
0,0,agent_1,do you listen to albums?,Music
1,0,agent_2,Yes I do. Have you listened to Hybrid Theory?,Music
2,0,agent_1,Yes it is the best selling album of the century after all,Music
3,0,agent_2,True. Do you know who Reel Big FIsh are?,Music
4,0,agent_1,"Yes the band that lost the rights to their own music, so sad",Music
5,0,agent_2,Yes but they rerecorded everything and now are back on track,Music
6,0,agent_1,Yes. Do you know which was the best album of 2014?,Music
7,0,agent_2,Yes it was the dark side of the moon which was released 40 years prior,Music
8,0,agent_1,Yes letting the quality of the album speak for itself,Music
9,0,agent_2,True. Did you know Straight Outta Campton reached platinum without airplay?,Music
10,0,agent_1,"Yes and they did not have a major tour either, that is amazing",Art_Event
11,0,agent_2,Yeah it is. Twins in Japan released an album when they were 100,Music
12,0,agent_1,Yes and it was a rap album of all genres,Music
13,0,agent_2,Yes. DO you like rap music?,Music
14,0,agent_1,Yes I like stuff from Tupac mainly and then some of EMinem and you?,Music
15,0,agent_2,Me too. Tupac's music is in the library of congress for cultural significance,Music
16,0,agent_1,Nice. Did you know EMinem wanted to be a comic book artist?,Music
17,0,agent_2,Yes and his favorite character is spiderman,Movies_TV
18,0,agent_1,Yes. Did you know Busta Rhymes was in the Rugrats movie?,Movies_TV
19,0,agent_2,Yes the voice of Reptar Wagon. Nice chat,Other
20,0,agent_1,"Same here, have a good one",Other
21,1,agent_1,Hello do you follow football?,Sports
22,1,agent_2,I do follow football. Do you?,Sports
23,1,agent_1,I do.  The University of Iowa painted their visitors locker room completely pink!  lol  Wonder what that's all about?,Sports
24,1,agent_2,It's serious intimidation by Iowa! I wonder if it actually works?,Sports
25,1,agent_1,Who knows? lol  In the 1960's top bowlers made twice as much as top football stars of that time.,Sports
26,1,agent_2,That's strange. Kellen Moore is the only left handed QB.,Sports
27,1,agent_1,I know.  I don't even know who he is?  lol,Other
28,1,agent_2,He's the one throwing the ball with the wrong hand. Brad Johnson is much more talented. He throws and catches TDs.,Sports
29,1,agent_1,Ha!  Nice!  Do you know what the highest scoring football game ever was?,Sports
30,1,agent_2,60-10?,Sports
31,1,agent_1,Georgia Tech beat Cumberland 222-0,Sports
32,1,agent_2,Wow! I watch football all the time and have never heard of Cumberland. I wonder if they had to disband the football team after that whooping!,Sports
33,1,agent_1,They might have. lol  Former Patriots RB Benjarvus Green-Ellis never fumbled the ball in his NFL career.  Impressive.,Sports
34,1,agent_2,Yeah. 6 years with 2 teams. He was a good player.,Sports
35,1,agent_1,LOL  ESPN won an emmy for the superimposed yellow first down line they created.  I would be lost without it.,Other
36,1,agent_2,Me too but that seems like a really low bar for an emmy...,Other
37,1,agent_1,Right? Lol. Do you play any fantasy sports? There's actually a fantasy draft for the National Spelling Bee.,Games
38,1,agent_2,"Yes and I am one of the losers (my word, not yours) that made the national spelling bee a drinking game. I took the day off of work for it!",Games
39,1,agent_1,lol  A single fold in the brain makes the difference between perceiving reality and fantasy.  Interesting.  It's been fun chatting!,SciTech
40,1,agent_2,Ditto! Have a great night!,Phatic
41,1,agent_1,You have a great night too!,Phatic
42,2,agent_1,Have you visited Washington DC?,Travel_Geo
43,2,agent_2,I never have but hope to one day.,Other
44,2,agent_1,"Me neither, but it seems a nice city, the National Mall in spring is filled with cherry trees in bloom.",Travel_Geo
45,2,agent_2,I've seen pictures.  Yes it does look beautiful.  I wonder if they have any goldfish in any of those water fountains there?  lol  The oldest goldfish lived to be 43 years old!,Pets_Animals
46,2,agent_1,"That is a long time, I wonder if its remembers those 43 years or only the last 5 minutes. There is also a breed or jellyfish that is immortal. That is longer than 43, but I am not sure that I would want to be an immortal jellyfish.",Pets_Animals
47,2,agent_2,"You and me both!  Since jellyfish are 98% water, they evaporate in the sun!",SciTech
48,2,agent_1,"That must be painful, if they could sense pain. I don't feel bad for them for all the pain they inflict on people.",Pets_Animals
49,2,agent_2,haha  There was a koi fish named Hanako that lived for 226 years!,Pets_Animals
50,2,agent_1,"Fish can be useful for research, the illnesses that can affect the zebrafish also affect humans.",Pets_Animals
51,2,agent_2,Interesting!  There is a species of fish that lives on land all its adult life.  Have no idea what it's called though.  lol,Pets_Animals
52,2,agent_1,"I think it is a mudskipper, I don't know it they live on land, but they can ""walk"".",Pets_Animals
53,2,agent_2,That might be it.  There is a fish called the barreleye fish that has a transparent head.  Do you like dogs?,Pets_Animals
54,2,agent_1,"Yes I like dogs, but I don't have one. They are smart they understand pointing.",Pets_Animals
55,2,agent_2,That's neat!  Some dogs in Moscow have learned to use the subway!,Pets_Animals
56,2,agent_1,"That is smart of them, in Istanbul you can donate empty water bottles and they feed stray dogs with the money.",Pets_Animals
57,2,agent_2,"That's a good idea!  Dogs drink with the underside of their tongues.  So, that is perfect for them.",Pets_Animals
58,2,agent_1,Do you think dogs can dance ? That would be cute.,Pets_Animals
59,2,agent_2,"They might!  If they can learn over a 1000 words and can reason better than chimps, then they might have the ability to learn how to!  Do you like to dance?",Entertainment
60,2,agent_1,"Yeah, but I don't practice much, Bruce Lee must have practiced a lot to win a cha-cha championship.",Entertainment
61,2,agent_2,Nice!  I didn't know he was a dancer.  The first moonwalk ever recorded was performed by tap dancer Bill Bailey in 1955!  It's been fun chatting!,Entertainment
62,2,agent_1,"Martial arts are likes dances, but with more physical contact. Have a nice day.",Other
63,3,agent_1,I've had dogs half my life and never knew they have 12 different bloodtypes.,Pets_Animals
64,3,agent_2,That is amazing. I did not know that either. Dogs can even donate blood at dog blood drives.,Pets_Animals
65,3,agent_1,"Yeah, but makes sense given that there are so many, and they often have operations.",Other
66,3,agent_2,Very true. Did you know instabul has vending machines that release food and water for the cities stray dogs.,Pets_Animals
67,3,agent_1,yes! I've seen it on Facebook. That's so nice what they do to care for the strays.,Other
68,3,agent_2,"speaking of facebook, Did you know Myspace turned down an offer to by Facbook for $75 million?",News
69,3,agent_1,"Yes, I did. Huge mistake since no one uses My Space anymore.",News
